phase,event_index,plan_epoch,robot_id,robot_type,t_start,t_end,action,task_name,from_x,from_y,to_x,to_y,status
initial_plan,0,0,0,1,0.0,13.0,idle,,26,17,26,17,planned_static
initial_plan,0,0,1,1,0.0,13.0,idle,,11,33,11,33,planned_static
initial_plan,0,0,2,1,0.0,13.0,idle,,38,13,38,13,planned_static
initial_plan,0,0,3,1,0.0,13.0,idle,,38,33,38,33,planned_static
initial_plan,0,0,4,1,0.0,13.0,idle,,0,4,0,4,planned_static
initial_plan,0,0,5,2,0.0,13.0,idle,,1,34,1,34,planned_static
initial_plan,0,0,6,2,0.0,13.0,idle,,32,32,32,32,planned_static
initial_plan,0,0,7,2,0.0,13.0,idle,,38,27,38,27,planned_static
initial_plan,0,0,8,2,0.0,13.0,idle,,32,27,32,27,planned_static
initial_plan,0,0,9,2,0.0,13.0,idle,,38,38,38,38,planned_static
initial_plan,0,0,10,3,0.0,13.0,idle,,3,26,3,26,planned_static
initial_plan,0,0,11,3,0.0,13.0,move,p9,24,16,31,10,planned_static
initial_plan,0,0,12,3,0.0,9.0,move,p9,34,18,33,10,planned_static
initial_plan,0,0,12,3,9.0,13.0,idle,p9,33,10,33,10,planned_static
initial_plan,0,0,13,3,0.0,3.0,move,p9,33,13,33,10,planned_static
initial_plan,0,0,13,3,3.0,13.0,idle,p9,33,10,33,10,planned_static
initial_plan,0,0,14,3,0.0,13.0,idle,,18,23,18,23,planned_static
initial_plan,0,0,15,4,0.0,13.0,idle,,36,10,36,10,planned_static
initial_plan,0,0,16,4,0.0,13.0,idle,,36,31,36,31,planned_static
initial_plan,0,0,17,4,0.0,13.0,idle,,18,39,18,39,planned_static
initial_plan,0,0,18,4,0.0,13.0,idle,,27,3,27,3,planned_static
initial_plan,0,0,19,4,0.0,13.0,idle,,8,31,8,31,planned_static
initial_plan,0,0,20,5,0.0,13.0,idle,,6,39,6,39,planned_static
initial_plan,0,0,21,5,0.0,13.0,idle,,29,32,29,32,planned_static
initial_plan,0,0,22,5,0.0,13.0,idle,,12,28,12,28,planned_static
initial_plan,0,0,23,5,0.0,13.0,idle,,17,20,17,20,planned_static
initial_plan,0,0,24,5,0.0,13.0,idle,,30,4,30,4,planned_static
initial_plan,0,0,0,1,0.0,1.0,move,p7,26,17,26,16,planned_static
initial_plan,0,0,0,1,13.0,14.0,idle,p7,26,16,26,16,planned_static
initial_plan,0,0,1,1,13.0,14.0,idle,,11,33,11,33,planned_static
initial_plan,0,0,2,1,0.0,7.0,move,p7,38,13,34,16,planned_static
initial_plan,0,0,2,1,13.0,14.0,idle,p7,34,16,34,16,planned_static
initial_plan,0,0,3,1,0.0,14.0,move,p7,38,33,34,23,planned_static
initial_plan,0,0,4,1,13.0,14.0,idle,,0,4,0,4,planned_static
initial_plan,0,0,5,2,13.0,14.0,idle,,1,34,1,34,planned_static
initial_plan,0,0,6,2,13.0,14.0,idle,,32,32,32,32,planned_static
initial_plan,0,0,7,2,13.0,14.0,idle,,38,27,38,27,planned_static
initial_plan,0,0,8,2,13.0,14.0,idle,,32,27,32,27,planned_static
initial_plan,0,0,9,2,13.0,14.0,idle,,38,38,38,38,planned_static
initial_plan,0,0,10,3,13.0,14.0,idle,,3,26,3,26,planned_static
initial_plan,0,0,11,3,13.0,14.0,idle,,31,10,31,10,planned_static
initial_plan,0,0,12,3,13.0,14.0,idle,,33,10,33,10,planned_static
initial_plan,0,0,13,3,13.0,14.0,idle,,33,10,33,10,planned_static
